propertyName,pricing,tenure,propertyType,propertySQFT,furnishStatus,numBedroom,numBathroom
"Ativo Plaza, Bandar Sri Damansara",780000,Freehold,Shop,1675,Semi Furnished,N / A,N / A
"The Tropika, Bukit Jalil",570000,Freehold,Condominium,732,Semi Furnished,2 ,2 
"10 Mont Kiara, Mont Kiara",3500000,Freehold,Condominium,3704,Semi Furnished,4 + 1,4 + 2
"Mahkota Walk, Bandar Mahkota Cheras",635000,Freehold,Terrace,1712,Unfurnished,4 ,3 
"Suria KiPark Damansara, Kepong",310000,Freehold,Apartment,976,Unfurnished,3 ,2 
"Arte Mont Kiara, Dutamas",630000,Freehold,Serviced Residence,886,Semi Furnished,2 ,2 
"Prima Harmoni 2 @ Bukit Prima Pelangi, Segambut",750000,Freehold,Condominium,1407,Unfurnished,4 ,3 
"Platinum Walk, Setapak",3600000,Freehold,Shop,5000,Unfurnished,N / A,N / A
"Seasons Garden Residences, Wangsa Maju",480000,Freehold,Condominium,770,Semi Furnished,3 ,2 
"Taman Melawati, Kuala Lumpur",2050000,Freehold,Semi Detached,8300,Semi Furnished,4 ,3 
"ZetaPark, Setapak",660000,Freehold,Condominium,1281,Fully Furnished,3 ,2 
"Desa Setapak, Setapak",440000,Freehold,Terrace,880,Semi Furnished,3 ,2 
"Arte Mont Kiara, Dutamas",477000,Freehold,Serviced Residence,595,Semi Furnished,1 ,2 
"Arte Mont Kiara, Dutamas",785000,Freehold,Duplex,782,Semi Furnished,2 ,2 
"Crown Regency, KLCC",1100000,Freehold,Condominium,1485,Fully Furnished,3 ,3 
"Bandar Baru Sri Petaling, Sri Petaling",1050000,Freehold,Terrace,2560,Semi Furnished,5 ,3 
"Palm Court, Brickfields",520000,Freehold,Condominium,1100,Semi Furnished,3 ,2 
"Maxim Citilights, Sentul",310000,Freehold,Serviced Residence,856,Semi Furnished,2 ,2 
"Cascadium, Bangsar",1300000,Freehold,Condominium,1088,Fully Furnished,2 ,2 
"Suasana Sentral Loft, KL Sentral",820000,Freehold,Condominium,913,Fully Furnished,2 ,1 
"Angkasa Impian 1, Bukit Ceylon",730000,Freehold,Condominium,1500,Fully Furnished,3 + 1,3 
"The Rainz, Bukit Jalil",978000,Freehold,Condominium,1513,Fully Furnished,4 ,3 
"Cheras Vista, Bandar Mahkota Cheras",320000,Freehold,Apartment,750,Unfurnished,3 ,2 
"Mahkota Walk, Bandar Mahkota Cheras",6300000,Freehold,Bungalow,16000,Fully Furnished,0 ,0 
"Burhanuddin Helmi, TTDI",5350000,Freehold,Bungalow,4800,Semi Furnished,4 + 2,3 
"The Treez, Bukit Jalil",1080000,Freehold,Condominium,1440,Unfurnished,3 ,2 
"Mahkota Walk, Bandar Mahkota Cheras",2350000,Freehold,Semi Detached,4000,Unfurnished,7 ,6 
"New Haven @ Presint 18, Putrajaya",567000,Freehold,Terrace,1729,Unfurnished,4 ,3 
"Q Suite @ Queensville, Bandar Sri Permaisuri",315600,Freehold,So Ho/Studio,526,Semi Furnished,0 ,1 
"Q Suite @ Queensville, Bandar Sri Permaisuri",334800,Freehold,So Ho/Studio,558,Semi Furnished,0 ,1 
"Taman Shamelin Perkasa, Cheras",500000,Leasehold,Condominium,832,Unfurnished,3 ,2 
"Putra Suria Residence, Bandar Sri Permaisuri",319000,Freehold,Apartment,748,Semi Furnished,3 ,2 
"The Landmark Residence, Bukit Bintang",300000,Freehold,Condominium,496,Fully Furnished,1 ,1 
"10 Mont Kiara, Mont Kiara",3450000,Freehold,Condominium,3720,Fully Furnished,4 + 1,4 + 2
"Laman Damai, Kepong",220000,Freehold,Apartment,650,Unfurnished,3 ,2 
"Shamelin Star Serviced Residences, Cheras",585000,Freehold,Serviced Residence,914,Semi Furnished,3 ,2 
"3 Towers, Ampang Hilir",770000,Freehold,Office,691,Unfurnished,N / A,N / A
"Azelia Residence, Bandar Sri Damansara",930000,Freehold,Condominium,1345,Semi Furnished,2 + 1,2 
"Banyan Tree, KLCC",2430000,Freehold,Condominium,1197,Fully Furnished,2 ,2 
"Bukit Manda'rina, Cheras",950000,Freehold,Terrace,2180,Semi Furnished,5 ,4 
"KL Gateway Premium Residences, Bangsar South",1180000,Freehold,Condominium,1200,Fully Furnished,2 + 1,2 
"Tiffani Kiara, Mont Kiara",1390000,Freehold,Condominium,2239,Fully Furnished,3 ,1 
"Shamelin Star Serviced Residences, Cheras",580000,Freehold,Condominium,914,Semi Furnished,3 ,2 
"Taman Sungai Besi, Sungai Besi",459888,Freehold,Condominium,1138,Unfurnished,3 ,3 
"Kampung Berembang, Ampang Hilir",208000,Leasehold,Apartment,650,Semi Furnished,3 ,2 
"Section 6, Bandar Mahkota Cheras",2480000,Freehold,Bungalow,10437,Fully Furnished,8 ,6 
"Taman Len Sen, Cheras",468000,Freehold,Terrace,1678,Semi Furnished,4 ,3 
"Razak City Residences, Sungai Besi",429000,Freehold,Serviced Residence,1140,Unfurnished,3 ,3 
"Taman Desa Petaling, Desa Petaling",279000,Freehold,Condominium,828,Fully Furnished,3 ,2 
"Taman Sungai Besi, Sungai Besi",480000,Leasehold,Condominium,1074,Semi Furnished,3 ,2 
"Eastpark 72, Bandar Mahkota Cheras",1500000,Freehold,Semi Detached,4276,Unfurnished,6 ,6 
"You Vista @ You City, Batu 9 Cheras",699000,Freehold,Condominium,1459,Fully Furnished,4 ,3 
"Taman Taynton View, Cheras",938000,Freehold,Link,2588,Semi Furnished,8 ,3 
"Section 8, Bandar Mahkota Cheras",788000,Freehold,Link,2100,Unfurnished,4 ,3 
"Sunstone Villa, Bandar Mahkota Cheras",950000,Freehold,Superlink,3040,Semi Furnished,6 ,4 
"Taman Desa, Kuala Lumpur",699000,Freehold,Serviced Residence,935,Semi Furnished,3 ,2 
"Palm Hill Residence, Batu 9 Cheras",307000,Freehold,Condominium,1011,Unfurnished,3 ,2 
"Jalan Sungai Besi, Kuala Lumpur",486000,Freehold,Condominium,918,Unfurnished,3 ,2 
"Jalan Sungai Besi, Kuala Lumpur",486000,Leasehold,Condominium,920,Unfurnished,3 ,2 
"The Elements, Ampang Hilir",450000,Freehold,Serviced Residence,525,Fully Furnished,1 ,1 
"The Park Sky Residence @ Bukit Jalil City, Bukit Jalil",950000,Freehold,Serviced Residence,1061,Semi Furnished,3 ,2 
"The iResidence, Bandar Mahkota Cheras",750000,Freehold,Condominium,2300,Fully Furnished,5 ,3 
"Baiduri Apartment, Desa Pandan",335000,Freehold,Apartment,850,Fully Furnished,3 ,2 
"Sunway SPK Damansara, Kepong",1950000,Freehold,Terrace,3200,Semi Furnished,5 ,4 
"Ativo Plaza, Bandar Sri Damansara",1800000,Freehold,Shop,2164,Semi Furnished,N / A,N / A
"Section 3, Bandar Mahkota Cheras",518000,Freehold,Link,1988,Semi Furnished,4 ,3 
"Desarina, Taman Desa",470000,Freehold,Condominium,1344,Unfurnished,3 ,2 
"SD3, Bandar Sri Damansara",650000,Freehold,Terrace,1000,Semi Furnished,3 ,2 
"Taman Kepong, Kepong",998000,Freehold,Terrace,2300,Semi Furnished,4 ,3 
"i-Zen Kiara I, Mont Kiara",780000,Freehold,Serviced Residence,913,Fully Furnished,2 ,2 
"i-Zen Kiara I, Mont Kiara",782000,Freehold,Serviced Residence,913,Fully Furnished,2 ,2 
"i-Zen Kiara II, Mont Kiara",900000,Freehold,Serviced Residence,1560,Fully Furnished,3 + 1,3 
"Vista Kiara, Mont Kiara",620000,Freehold,Condominium,1200,Semi Furnished,3 ,2 
"Agile Mont Kiara, Dutamas",1350000,Freehold,Condominium,1603,Semi Furnished,3 + 1,2 
"Taman Sri Segambut, Segambut",780000,Freehold,Terrace,2300,Semi Furnished,3 ,2 
"Verdana, Dutamas",1280000,Freehold,Condominium,1798,Semi Furnished,3 + 1,2 + 1
"SD3, Bandar Sri Damansara",650000,Freehold,Terrace,1000,Semi Furnished,3 ,2 
"Greenview Apartment, Kepong",188000,Freehold,Apartment,750,Semi Furnished,3 ,2 
"Taman Sri Segambut, Segambut",780000,Freehold,Terrace,2200,Semi Furnished,4 ,2 
"Taman OUG, Old Klang Road",365000,Freehold,Condominium,1200,Semi Furnished,3 ,2 
"Sri Suajaya, Sentul",365000,Freehold,Condominium,1095,Semi Furnished,3 ,2 
"Bukit OUG Condominium, Bukit Jalil",249000,Freehold,Condominium,775,Fully Furnished,2 ,1 
"Cendana, KLCC",2980000,Freehold,Condominium,4536,Fully Furnished,4 + 1,5 
"Taman Bukit Cheras, Cheras",369000,Freehold,Condominium,872,Fully Furnished,3 ,2 
"Seri Beringin, Damansara Heights",12000000,Freehold,Bungalow,9000,Semi Furnished,6 + 1,8 
"Pantai Hillpark 2, Pantai",450000,Freehold,Condominium,1023,Semi Furnished,3 ,2 
"Sunway Vivaldi, Mont Kiara",2950000,Freehold,Condominium,3660,Fully Furnished,5 ,6 
"Sunway Vivaldi, Mont Kiara",3100000,Freehold,Condominium,4047,Fully Furnished,5 ,6 
"Sunway Vivaldi, Mont Kiara",3100000,Freehold,Condominium,4047,Fully Furnished,5 ,6 
"Rica Residence, Sentul",920000,Freehold,Serviced Residence,1227,Unfurnished,3 ,3 
"Precinct 18, Putrajaya",5200000,Freehold,Land,236792,Unfurnished,0 ,0 
"i-Zen Kiara II, Mont Kiara",1250000,Freehold,Condominium,1663,Fully Furnished,4 + 1,3 
"i-Zen Kiara I, Mont Kiara",690000,Freehold,Condominium,868,Fully Furnished,2 ,2 
"Taman Mulia, Bandar Tun Razak",1000000,Leasehold,Terrace,2856,Semi Furnished,5 ,5 
"Pavilion Hilltop, Mont Kiara",1290000,Freehold,Condominium,1200,Fully Furnished,3 ,2 
"Expressionz Professional Suites, Titiwangsa",2400000,Freehold,Serviced Residence,1600,Semi Furnished,2 + 2,2 
"Sunway Belfield, Kuala Lumpur",590000,Freehold,Condominium,788,Semi Furnished,2 ,2 
"Platinum Lake PV21, Setapak",530000,Freehold,Condominium,1381,Semi Furnished,5 ,2 
"Section 5, Wangsa Maju",850000,Freehold,Terrace,1540,Semi Furnished,4 ,3 
"Taman U-Thant, Ampang Hilir",18000000,Freehold,Bungalow,5610,Semi Furnished,4 ,4 
"Taman Setapak, Setapak",580000,Freehold,Terrace,1600,Unfurnished,3 ,2 
"Jalan Raja Laut, Chow Kit",4000000,Freehold,Shop,7000,Unfurnished,N / A,N / A
"Setapak Ria Condominium, Setapak",399000,Freehold,Condominium,1150,Semi Furnished,3 ,2 
"OUG Parklane, Old Klang Road",410000,Freehold,Condominium,950,Fully Furnished,3 ,2 
"Taman Midah, Cheras",400000,Leasehold,Condominium,1000,Fully Furnished,3 ,2 
"216 Residences, Kuchai Lama",485000,Freehold,Serviced Residence,832,Semi Furnished,2 ,2 
"Taman Midah, Cheras",400000,Leasehold,Duplex,1000,Semi Furnished,3 ,2 
"Legasi Kampung Baru, Kampung Baru",900000,Freehold,Condominium,950,Unfurnished,3 ,2 
"Fraser Business Park, Sungai Besi",4900000,Freehold,Shop,8580,Semi Furnished,10 ,10 
"Regalia @ Jalan Sultan Ismail, Kuala Lumpur",420000,Freehold,Condominium,560,Fully Furnished,1 ,1 
"Taman Sri Segambut, Segambut",850000,Freehold,Terrace,2200,Semi Furnished,3 ,3 
"Taman Sri Segambut, Segambut",788000,Freehold,Terrace,2500,Semi Furnished,4 ,3 
"Taman Sri Segambut, Segambut",788000,Freehold,Terrace,2500,Semi Furnished,4 ,3 
"Puncak Desa Apartment, Kepong",250000,Freehold,Apartment,850,Semi Furnished,3 ,2 
"Suasana Sentral Loft, KL Sentral",1350000,Freehold,Condominium,1584,Fully Furnished,3 + 1,2 
"The Hamstead, Bandar Tun Razak",460000,Leasehold,Condominium,947,Unfurnished,3 ,2 
"Angkasa Impian 1, Bukit Ceylon",1000000,Freehold,Condominium,2000,Fully Furnished,4 + 1,4 
"Sunway Palazzio, Sri Hartamas",3650000,Freehold,Condominium,4187,Semi Furnished,4 ,5 
"Le Yuan Residence, Kuchai Lama",1050000,Freehold,Condominium,1710,Fully Furnished,4 ,4 
"Villa Scott, Brickfields",700000,Freehold,Condominium,1400,Fully Furnished,4 ,3 
"Endah Ria, Sri Petaling",395000,Freehold,Condominium,1486,Unfurnished,3 ,2 
"Taman Bukit Permai, Cheras",180000,Freehold,Duplex,925,Semi Furnished,3 ,2 
"Damansara Heights, Kuala Lumpur",9000000,Freehold,Bungalow,9763,Semi Furnished,8 ,6 
"Damansara Heights, Kuala Lumpur",5100000,Freehold,Bungalow,5500,Semi Furnished,6 ,5 
"Damansara Heights, Kuala Lumpur",11888000,Freehold,Bungalow,13000,Semi Furnished,7 ,9 
"Damansara Heights, Kuala Lumpur",4300000,Freehold,Land,5980,Unfurnished,0 ,0 
"Damansara Heights, Kuala Lumpur",6680000,Freehold,Bungalow,6800,Semi Furnished,6 ,6 
"Damansara Heights, Kuala Lumpur",9800000,Freehold,Bungalow,9000,Semi Furnished,7 ,8 
"Faber Ria, Taman Desa",235000,Freehold,Condominium,500,Semi Furnished,1 ,1 
"Damansara Heights, Kuala Lumpur",12500000,Freehold,Bungalow,7651,Semi Furnished,6 ,7 
"Damansara Heights, Kuala Lumpur",3980000,Freehold,Bungalow,8838,Unfurnished,4 ,3 
"Desa Setapak, Setapak",480000,Freehold,Terrace,1800,Semi Furnished,3 ,3 
"Seri Maya, Setiawangsa",720000,Freehold,Condominium,1325,Fully Furnished,3 ,2 
"Residensi Sefina, Mont Kiara",1550000,Freehold,Condominium,1771,Unfurnished,4 ,4 
"Villa Orkid, Segambut",790000,Freehold,Condominium,1893,Unfurnished,4 ,3 
"The Avare, KLCC",3400000,Freehold,Condominium,3800,Fully Furnished,4 + 1,5 
"Bandar Tasik Selatan, Kuala Lumpur",680000,Freehold,Terrace,2200,Semi Furnished,5 ,3 
"Flexus Signature Suites, Segambut",530000,Freehold,Condominium,563,Semi Furnished,1 ,1 
"Expressionz Professional Suites, Titiwangsa",994000,Freehold,Serviced Residence,643,Fully Furnished,2 ,2 
"Sunway Vivaldi, Mont Kiara",1800000,Freehold,Condominium,2573,Semi Furnished,4 ,5 
"The Loft @ ZetaPark, Setapak",486000,Freehold,Condominium,1270,Semi Furnished,3 ,2 
"Anjung Hijau, Bukit Jalil",369000,Freehold,Condominium,1012,Semi Furnished,3 ,2 
"Jalan Bukit Bintang, Bukit Bintang",490000,Freehold,Apartment,1100,Semi Furnished,5 ,2 
"Plaza 138, KLCC",530000,Freehold,Office,820,Semi Furnished,N / A,N / A
"Precinct 8, Putrajaya",1620000,Freehold,Semi Detached,4700,Semi Furnished,5 ,5 
"KL Gateway Premium Residences, Bangsar South",1250000,Freehold,Condominium,1346,Fully Furnished,3 ,3 
"Villa Danau, Setapak",450000,Freehold,Condominium,1000,Semi Furnished,3 ,2 
"The Fennel, Sentul",860000,Freehold,Condominium,1237,Fully Furnished,3 ,2 
"Diamond Square, Setapak",200000,Freehold,Office,880,Unfurnished,N / A,N / A
"Desa Andaman, Wangsa Maju",1880000,Freehold,Terrace,4950,Semi Furnished,5 ,6 
"Duta Tropika, Dutamas",4380000,Freehold,Terrace,3780,Fully Furnished,6 ,6 
"Section 5, Wangsa Maju",850000,Freehold,Terrace,1400,Semi Furnished,4 ,3 
"Seasons Garden Residences, Wangsa Maju",500000,Freehold,Condominium,770,Fully Furnished,3 ,2 
"KL Traders Square, Kuala Lumpur",475000,Freehold,Condominium,932,Semi Furnished,3 ,2 
"Taman Sri Kuching, Jalan Ipoh",228000,Freehold,Apartment,780,Semi Furnished,3 ,2 
"KM1, Bukit Jalil",1050000,Freehold,Condominium,1508,Fully Furnished,3 + 1,3 
"Villa Wangsamas, Wangsa Maju",396000,Freehold,Condominium,1267,Unfurnished,4 ,3 
"Soho Suites, KLCC",600000,Freehold,So Ho/Studio,601,Semi Furnished,1 ,1 
"Zaaba, TTDI",1350000,Freehold,Terrace,2200,Unfurnished,5 ,3 
"EcoSky, Kuala Lumpur",684000,Freehold,Serviced Residence,1087,Semi Furnished,3 ,2 
"Taman Melawati, Kuala Lumpur",1230000,Freehold,Semi Detached,4400,Unfurnished,9 ,4 
"Suria Jelatek Residence, Ampang Hilir",530000,Freehold,Condominium,1089,Fully Furnished,3 ,2 
"KL Gateway, Bangsar South",870000,Freehold,Condominium,859,Fully Furnished,2 ,2 
"Brem Park, Kuchai Lama",495000,Freehold,Condominium,1600,Semi Furnished,4 ,2 
"Taman Bukit Maluri, Kepong",1450000,Freehold,Terrace,3168,Semi Furnished,3 ,3 
"M City, Ampang Hilir",590000,Freehold,Condominium,533,Fully Furnished,1 ,1 
"Taman Midah, Cheras",800000,Freehold,Terrace,1320,Unfurnished,4 ,3 
"Langat Jaya, Batu 9 Cheras",340000,Freehold,Condominium,938,Semi Furnished,3 ,2 
"Maxim Residences, Cheras",342000,Freehold,Serviced Residence,825,Unfurnished,2 ,2 
"Maxim Residences, Cheras",342000,Freehold,Serviced Residence,854,Unfurnished,2 ,2 
"Damai Budi, Alam Damai",730000,Freehold,Terrace,1880,Semi Furnished,5 ,3 
"Kota Raya, Pudu",1250000,Freehold,Shop,909,Semi Furnished,1 ,0 
"Sri TTDI, TTDI",630000,Freehold,Condominium,1000,Semi Furnished,2 + 1,2 
"Bukit Tunku, Kenny Hills",10500000,Freehold,Land,16480,Unfurnished,0 ,0 
"Dua Sentral, Brickfields",638000,Freehold,Serviced Residence,710,Fully Furnished,1 ,1 
"The iResidence, Bandar Mahkota Cheras",430000,Freehold,Condominium,1248,Semi Furnished,3 ,2 
"Section 1, Bandar Mahkota Cheras",1280000,Freehold,Semi Detached,4400,Unfurnished,6 + 1,6 
"Mont Kiara Banyan, Mont Kiara",1500000,Freehold,Condominium,2318,Fully Furnished,4 + 1,4 
"Taman Connaught, Cheras",1230000,Freehold,Terrace,4144,Unfurnished,5 ,3 
"EkoCheras, Cheras",800000,Freehold,Serviced Residence,1150,Fully Furnished,2 ,2 
"Vistaria Residensi, Cheras",590000,Freehold,Condominium,1300,Semi Furnished,3 + 1,2 
"Taman Vista Hill, Bandar Mahkota Cheras",1250000,Freehold,Semi Detached,3900,Unfurnished,6 ,6 
"Taman Hulu Langat Jaya, Batu 9 Cheras",1580000,Freehold,Bungalow,3000,Unfurnished,6 ,5 
"Section 1, Bandar Mahkota Cheras",988000,Freehold,Semi Detached,4200,Unfurnished,7 ,6 
"Taman Vista Hill, Bandar Mahkota Cheras",1600000,Freehold,Semi Detached,3847,Semi Furnished,6 ,6 
"Taman Segar Perdana, Cheras",835000,Freehold,Terrace,1700,Semi Furnished,4 ,3 
"Taman Supreme, Cheras",808000,Leasehold,Terrace,,Semi Furnished,4 ,3 
"Taman Segar, Cheras",728000,Freehold,Terrace,1870,Semi Furnished,4 ,3 
"Hijauan Residence, Batu 9 Cheras",2180000,Freehold,Bungalow,4200,Unfurnished,5 ,5 
"Wisma Zelan, Bandar Sri Permaisuri",205000,Leasehold,Office,853,Semi Furnished,3 ,0 
"Wisma Zelan, Bandar Sri Permaisuri",310000,Leasehold,Office,1300,Semi Furnished,5 ,0 
"Wisma Zelan, Bandar Sri Permaisuri",355000,Leasehold,Office,1474,Semi Furnished,3 ,0 
"Taman Taynton View, Cheras",2500000,Freehold,Bungalow,8306,Unfurnished,6 ,4 
"Taman U-Thant, Ampang Hilir",21210000,Freehold,Bungalow,,Unfurnished,4 + 4,5 
"M Suites, Ampang Hilir",565000,Freehold,So Ho/Studio,502,Fully Furnished,1 ,1 
"The Airie, Bandar Sri Damansara",3000000,Freehold,Semi Detached,4258,Semi Furnished,5 ,6 
"Serene Kiara, Mont Kiara",18900000,Freehold,Land,151153,Unfurnished,0 ,0 
"M City, Ampang Hilir",550000,Freehold,Serviced Residence,508,Fully Furnished,1 ,1 
"Taman Sri Bahtera, Cheras",750000,Leasehold,Terrace,1540,Semi Furnished,4 ,3 
"Precinct 18, Putrajaya",1090000,Freehold,Terrace,2482,Semi Furnished,5 ,4 
"Precinct 11, Putrajaya",270000,Freehold,Apartment,700,Unfurnished,3 ,2 
"Precinct 9, Putrajaya",260000,Freehold,Apartment,700,Unfurnished,3 ,2 
"Taman Miharja, Cheras",300000,Leasehold,Apartment,850,Unfurnished,3 ,2 
"Mutiara Magna, Kepong",200000,Leasehold,Apartment,720,Semi Furnished,3 ,2 
"Section 7, Bandar Mahkota Cheras",630000,Freehold,Link,2000,Semi Furnished,4 ,3 
"Section 3, Bandar Mahkota Cheras",580000,Freehold,Link,2000,Semi Furnished,4 ,3 
"Jalan Sungai Besi, Kuala Lumpur",429000,Freehold,Serviced Residence,1140,Semi Furnished,3 ,3 
"Taman Desa Petaling, Desa Petaling",279000,Freehold,Apartment,888,Fully Furnished,3 ,2 
"Section 3, Bandar Mahkota Cheras",630000,Freehold,Terrace,2238,Fully Furnished,4 + 1,4 
"Section 2, Bandar Mahkota Cheras",580000,Freehold,Terrace,2000,Semi Furnished,4 + 1,3 
"Section 1, Bandar Mahkota Cheras",558000,Freehold,Link,1888,Semi Furnished,4 ,3 
"Section 5, Bandar Mahkota Cheras",530000,Freehold,Link,1900,Semi Furnished,4 ,3 
"The iResidence, Bandar Mahkota Cheras",750000,Freehold,Condominium,2185,Semi Furnished,5 ,3 
"Pangsapuri Berembang Indah, Keramat",208000,Leasehold,Apartment,651,Semi Furnished,3 ,2 
"Section 4, Bandar Mahkota Cheras",519000,Freehold,Terrace,1888,Unfurnished,4 ,3 
"Pantai Dalam, Pantai",300000,Leasehold,Apartment,810,Unfurnished,3 ,2 
"Tria Residences @ 9 Seputeh, Old Klang Road",60500,Freehold,Serviced Residence,764,Unfurnished,2 ,2 
"Tria Residences @ 9 Seputeh, Old Klang Road",568800,Freehold,Condominium,765,Unfurnished,2 ,2 
"The Suite, Kuala Lumpur",215000,Freehold,So Ho/Studio,220,Fully Furnished,1 ,1 
"Tria Residences @ 9 Seputeh, Old Klang Road",597440,Freehold,Condominium,764,Semi Furnished,2 ,2 
"Parc 3, Cheras",648912,Freehold,Condominium,809,Semi Furnished,3 ,2 
"The Harmony, Old Klang Road",505000,Freehold,Serviced Residence,1064,Semi Furnished,3 + 1,2 
"The Maple Residences, Old Klang Road",643000,Freehold,Condominium,808,Semi Furnished,3 ,2 
"Tria Residences @ 9 Seputeh, Old Klang Road",0,Freehold,Condominium,764,Semi Furnished,2 ,2 
"Convena Residence, Bukit Jalil",420000,Freehold,Condominium,730,Semi Furnished,2 ,2 
"The Andes, Bukit Jalil",700000,Freehold,Condominium,1100,Fully Furnished,3 ,2 
"The Nest Residences, Old Klang Road",457995,Freehold,Condominium,887,Semi Furnished,3 ,2 
"Tria Residences @ 9 Seputeh, Old Klang Road",732640,Freehold,Condominium,1001,Semi Furnished,3 ,2 
"Waltz Residences, Kuala Lumpur",691900,Freehold,Condominium,948,Semi Furnished,3 ,2 
"Tria Residences @ 9 Seputeh, Old Klang Road",1447840,Freehold,Condominium,1991,Fully Furnished,4 + 1,3 
"Tria Residences @ 9 Seputeh, Old Klang Road",930748,Freehold,Condominium,1001,Fully Furnished,3 ,2 
"PV9 Residences, Setapak",505000,Freehold,Condominium,1000,Semi Furnished,3 ,2 
"Vivo Residential @ 9 Seputeh, Old Klang Road",709052,Freehold,Condominium,1098,Semi Furnished,3 ,2 
"231 TR, KLCC",500000,Freehold,Serviced Residence,547,Fully Furnished,1 + 1,1 
"Panorama, KLCC",1550000,Freehold,Serviced Residence,1227,Fully Furnished,2 ,2 
"Damansara Heights, Kuala Lumpur",4300000,Freehold,Semi Detached,4711,Semi Furnished,5 ,4 
"Damansara Heights, Kuala Lumpur",4300000,Freehold,Semi Detached,4711,Semi Furnished,5 ,4 
"Pantai Hillpark 2, Pantai",500000,Freehold,Condominium,1201,Semi Furnished,3 ,2 
"Maytower, Dang Wangi",365000,Freehold,Serviced Residence,440,Fully Furnished,1 ,1 
"Prima Duta, Dutamas",740000,Freehold,Condominium,1614,Fully Furnished,3 ,3 
"3rd Mile Square, Old Klang Road",2000000,Freehold,Shop,6000,Unfurnished,3 ,4 
"Sunway Velocity Designer Office, Cheras",612000,Freehold,Office,678,Semi Furnished,1 ,1 
"Sri Mutiara, Sungai Besi",333000,Freehold,Condominium,1235,Semi Furnished,3 ,2 
"Tribeca, Bukit Bintang",792000,Freehold,Condominium,510,Semi Furnished,1 ,1 
"The CapSquare Residences, Dang Wangi",765000,Freehold,Condominium,1292,Semi Furnished,2 ,2 
"SkyLuxe On The Park, Bukit Jalil",818000,Freehold,Condominium,1011,Semi Furnished,3 ,2 
"Miharja Apartment, Cheras",275000,Freehold,Apartment,813,Unfurnished,3 ,2 
"Taman Seri Taming, Cheras",238000,Freehold,Apartment,1250,Unfurnished,3 ,2 
"Taman Bukit Damansara, Damansara Heights",4180000,Freehold,Bungalow,6000,Semi Furnished,7 ,6 
"Precinct 14, Putrajaya",3500000,Freehold,Bungalow,6832,Unfurnished,6 ,6 
"Precinct 15, Putrajaya",1490000,Freehold,Semi Detached,3000,Unfurnished,5 ,5 
"Nadi Bangsar, Bangsar",1290000,Freehold,Condominium,980,Fully Furnished,2 ,2 
"Vistana Mahkota, Bandar Mahkota Cheras",260000,Freehold,Apartment,953,Semi Furnished,3 ,2 
"Taman Midah, Cheras",410000,Freehold,Condominium,900,Fully Furnished,3 ,2 
"Sutramas, Dutamas",800000,Freehold,Condominium,1357,Semi Furnished,3 ,2 
"Taman Midah, Cheras",400000,Freehold,Condominium,1000,Fully Furnished,3 ,2 
"188 Suites, KLCC",1200000,Freehold,Condominium,1103,Fully Furnished,1 ,1 
"Irama Wangsa, Wangsa Maju",750000,Freehold,Condominium,1152,Semi Furnished,3 ,2 
"Seasons Garden Residences, Wangsa Maju",880000,Freehold,Terrace,2845,Semi Furnished,4 ,5 
"Emerald Hills, Alam Damai",420000,Freehold,Condominium,1110,Semi Furnished,3 ,2 
"La Grande Kiara, Mont Kiara",1180000,Freehold,Condominium,1991,Semi Furnished,3 ,3 
"Taman Sri Rampai, Setapak",550000,Freehold,Terrace,880,Semi Furnished,3 ,2 
"Berjaya Times Square, Bukit Bintang",545000,Freehold,Condominium,1490,Semi Furnished,3 ,3 
"Sri Kenny, Kenny Hills",1480000,Freehold,Condominium,2100,Fully Furnished,3 + 1,4 
"The Goodwood Residence, Bangsar South",1030000,Freehold,Serviced Residence,1399,Semi Furnished,4 ,3 
"Tria Residences @ 9 Seputeh, Old Klang Road",660000,Freehold,Condominium,764,Fully Furnished,2 ,2 
"Solaris Dutamas, Dutamas",2300000,Freehold,Office,1970,Fully Furnished,N / A,N / A
"M Arisa, Sentul",290097,Freehold,Condominium,550,Semi Furnished,1 ,1 
"Vivo Residential @ 9 Seputeh, Old Klang Road",1415888,Freehold,Condominium,2465,Semi Furnished,4 + 2,4 + 1
"The Maple Residences, Old Klang Road",690000,Freehold,Condominium,958,Semi Furnished,3 ,2 
"The Goodwood Residence, Bangsar South",730000,Freehold,Serviced Residence,969,Semi Furnished,3 ,2 
"Bukit Tunku, Kenny Hills",8500000,Freehold,Land,28535,Unfurnished,0 ,0 
"La Grande Kiara, Mont Kiara",1000000,Freehold,Condominium,1981,Unfurnished,3 + 1,3 
"Damansara Heights, Kuala Lumpur",8500000,Freehold,Bungalow,8000,Semi Furnished,7 + 1,8 
"Precinct 18, Putrajaya",1090000,Freehold,Terrace,2482,Semi Furnished,5 ,4 
"Precinct 11, Putrajaya",270000,Freehold,Apartment,700,Unfurnished,3 ,2 
"SkyLuxe On The Park, Bukit Jalil",950000,Freehold,Condominium,1140,Fully Furnished,3 ,2 
"Precinct 9, Putrajaya",260000,Freehold,Apartment,700,Unfurnished,3 ,2 
"M Adora, Wangsa Maju",500000,Freehold,Condominium,850,Semi Furnished,3 ,2 
"Continew, Pudu",570000,Freehold,Condominium,453,Semi Furnished,0 ,1 
