propertyName,pricing,tenure,propertyType,propertySQFT,furnishStatus,numBedroom,numBathroom
"VERVE Suites, Mont Kiara",1100000,Freehold,Condominium,926,Fully Furnished,2 ,1 
"Arcoris, Mont Kiara",859000,Freehold,Office,859,Semi Furnished,N / A,N / A
"Almaspuri, Mont Kiara",1000000,Freehold,Condominium,1545,Fully Furnished,3 ,2 + 1
"Mont Kiara Bayu, Mont Kiara",600000,Freehold,Condominium,798,Fully Furnished,1 ,2 
"Mont Kiara Meridin, Mont Kiara",1550000,Freehold,Condominium,2500,Semi Furnished,4 + 1,4 + 1
"Mont Kiara Meridin, Mont Kiara",1500000,Freehold,Condominium,2513,Semi Furnished,4 + 1,4 + 1
"Windsor Tower, Sri Hartamas",450000,Freehold,Serviced Residence,500,Fully Furnished,0 ,1 
"Solaris Dutamas, Dutamas",700000,Freehold,Serviced Residence,672,Fully Furnished,1 ,1 
"Prima Harmoni 2 @ Bukit Prima Pelangi, Segambut",711326,Freehold,Condominium,1420,Unfurnished,3 + 1,2 + 1
"Villa Makmur, Dutamas",680000,Freehold,Condominium,1280,Semi Furnished,3 + 1,2 
"Menara Duta 2, Dutamas",550000,Freehold,Condominium,1561,Fully Furnished,3 + 1,2 + 1
"Changkat View, Dutamas",440000,Freehold,Condominium,1100,Semi Furnished,3 ,2 
"28 Dutamas, Dutamas",1044720,Freehold,Condominium,1719,Semi Furnished,3 + 1,4 
"28 Dutamas, Dutamas",960000,Freehold,Condominium,1253,Unfurnished,3 ,2 
"28 Dutamas, Dutamas",935680,Freehold,Condominium,1719,Unfurnished,3 + 1,4 
"i-Zen Kiara II, Mont Kiara",1100000,Freehold,Serviced Residence,1695,Fully Furnished,4 ,3 
"28 Dutamas, Dutamas",895000,Freehold,Condominium,1719,Unfurnished,3 + 1,2 + 1
"Anggun Puri, Dutamas",800000,Freehold,Condominium,1890,Fully Furnished,3 + 2,3 + 1
"Anggun Puri, Dutamas",780000,Freehold,Condominium,1780,Semi Furnished,3 + 2,2 + 1
"Anggun Puri, Dutamas",480000,Freehold,Condominium,850,Fully Furnished,3 ,2 
"Dwiputra Residences, Putrajaya",570000,Freehold,Condominium,950,Fully Furnished,3 ,2 
"Suria KiPark Damansara, Kepong",310000,Leasehold,Apartment,976,Unfurnished,3 ,2 
"Damai Kasih, Alam Damai",1550000,Freehold,Semi Detached,4500,Unfurnished,6 + 1,5 + 1
"10 Damansara Heights, Damansara Heights",4800000,Freehold,Bungalow,4800,Semi Furnished,5 + 1,6 
"Twin Arkz, Bukit Jalil",828000,Freehold,Condominium,920,Semi Furnished,2 ,2 
"Taman Setapak Indah, Setapak",850000,Freehold,Terrace,1496,Semi Furnished,4 ,3 
"9INE, Batu 9 Cheras",480000,Freehold,Land,4350,Unfurnished,0 ,0 
"Riana Green East, Wangsa Maju",949000,Leasehold,Condominium,1909,Semi Furnished,4 ,3 
"Plaza Medan Putra, Bandar Menjalara",300000,Freehold,Condominium,792,Semi Furnished,3 ,2 
"Taman Taynton View, Cheras",890000,Freehold,Terrace,2400,Semi Furnished,7 ,4 
"Pertama Residency, Cheras",300000,Freehold,Condominium,650,Semi Furnished,2 ,1 
"Lexa Residence @ The Quartz, Wangsa Maju",380000,Freehold,Serviced Residence,660,Semi Furnished,2 ,1 
"Henna Residence @ The Quartz, Wangsa Maju",380000,Freehold,Serviced Residence,660,Semi Furnished,2 ,1 
"Le Yuan Residence, Kuchai Lama",450000,Freehold,Condominium,770,Unfurnished,2 ,2 
"Henna Residence @ The Quartz, Wangsa Maju",400000,Freehold,Serviced Residence,668,Semi Furnished,2 ,1 
"Henna Residence @ The Quartz, Wangsa Maju",400000,Freehold,Serviced Residence,668,Semi Furnished,2 ,1 
"M Arisa, Sentul",299800,Freehold,Condominium,550,Fully Furnished,1 ,1 
"M Adora, Wangsa Maju",480000,Freehold,Condominium,850,Semi Furnished,3 ,2 
"M Arisa, Sentul",299000,Freehold,Condominium,550,Semi Furnished,1 ,1 
"M Adora, Wangsa Maju",490000,Freehold,Condominium,850,Semi Furnished,3 ,2 
"Salak South Garden, Sungai Besi",1700000,Freehold,Semi Detached,3728,Semi Furnished,5 + 1,7 
"Angkupuri, Mont Kiara",599000,Freehold,Condominium,1250,Semi Furnished,3 ,2 
"The Havre, Bukit Jalil",620000,Freehold,Condominium,1023,Fully Furnished,3 ,2 
"Country Heights Damansara, Kuala Lumpur",8180000,Freehold,Bungalow,11400,Semi Furnished,7 ,6 
"Irama Wangsa, Wangsa Maju",770000,Freehold,Condominium,1100,Semi Furnished,3 ,2 
"Fera Residence @ The Quartz, Wangsa Maju",560000,Freehold,Apartment,800,Fully Furnished,3 ,2 
"i-Zen Kiara II, Mont Kiara",950000,Freehold,Condominium,1550,Fully Furnished,3 + 1,3 
"Menara Arina Uniti, KLCC",450000,Freehold,So Ho/Studio,760,Unfurnished,0 ,0 
"CitiZen 2, Old Klang Road",495000,Freehold,Condominium,725,Semi Furnished,2 ,2 
"Prima Harmoni 2 @ Bukit Prima Pelangi, Segambut",759000,Freehold,Condominium,1455,Unfurnished,4 ,3 
"Arena Green, Bukit Jalil",270000,Freehold,Apartment,725,Unfurnished,2 ,2 
"Arena Green, Bukit Jalil",335000,Freehold,Apartment,878,Unfurnished,3 ,2 
"Brem Park, Kuchai Lama",430000,Freehold,Condominium,1518,Semi Furnished,4 ,2 
"Segar Apartments, Cheras",240000,Freehold,Condominium,770,Semi Furnished,3 ,2 
"Taman Sri Rampai, Setapak",299000,Leasehold,Condominium,810,Unfurnished,3 ,2 
"KL Traders Square, Kuala Lumpur",365000,Freehold,Serviced Residence,650,Unfurnished,2 ,2 
"Bandar Baru Sri Petaling, Sri Petaling",855000,Leasehold,Terrace,2500,Semi Furnished,4 + 1,3 
"Bandar Tasik Selatan, Kuala Lumpur",800000,Leasehold,Terrace,1950,Semi Furnished,5 ,4 
"Chambers Kuala Lumpur, Chow Kit",370000,Freehold,Serviced Residence,450,Semi Furnished,1 ,1 
"Taman Shamelin Perkasa, Cheras",7800000,Freehold,Factory,15572,Unfurnished,3 + 2,2 + 1
"Kenwingston Platz Residence, Setapak",400000,Freehold,Condominium,808,Fully Furnished,3 ,2 
"Hampton Damansara, Kuala Lumpur",850000,Freehold,Terrace,2215,Unfurnished,4 ,4 
"Riana Green East, Wangsa Maju",820000,Freehold,Condominium,1909,Semi Furnished,5 ,4 
"Augusta, Putrajaya",2170000,Freehold,Semi Detached,4291,Unfurnished,6 + 1,7 
"The Northshore Gardens, Desa ParkCity",1850000,Freehold,Condominium,1948,Fully Furnished,3 ,3 
"Prima Harmoni 2 @ Bukit Prima Pelangi, Segambut",685000,Freehold,Condominium,1370,Unfurnished,3 + 1,3 
"Rahim Kajai, TTDI",3900000,Freehold,Shop,1875,Semi Furnished,N / A,N / A
"Dwiputra Residences, Putrajaya",480000,Freehold,Condominium,950,Fully Furnished,3 ,2 
"Laman Damaisari, Segambut",2500000,Freehold,Semi Detached,3303,Semi Furnished,5 + 1,5 + 1
"Lembah Keramat, Wangsa Maju",700000,Freehold,Terrace,1672,Unfurnished,6 ,3 
"Taman Cheras Indah, Cheras",525000,Freehold,Condominium,1415,Fully Furnished,3 ,3 
"Taman Connaught, Cheras",539900,Freehold,Condominium,1455,Fully Furnished,3 ,3 
"Sunway Velocity, Cheras",539900,Freehold,Condominium,1400,Fully Furnished,3 ,3 
"Sentul Pasar, Kuala Lumpur",350000,Freehold,Condominium,1000,Semi Furnished,3 ,2 
"Taman Setapak, Setapak",290000,Leasehold,Condominium,850,Semi Furnished,3 ,2 
"Jalan Bukit Bintang, Bukit Bintang",539900,Freehold,Condominium,1073,Fully Furnished,3 ,2 
"Jalan Sungai Besi, Kuala Lumpur",519900,Freehold,Condominium,1277,Fully Furnished,3 ,3 
"Sunway Velocity, Cheras",539000,Freehold,Condominium,1355,Fully Furnished,3 ,3 
"Taman Bukit Permai, Cheras",539000,Freehold,Condominium,1216,Fully Furnished,3 ,3 
"Taman Connaught, Cheras",539000,Freehold,Condominium,1215,Fully Furnished,3 ,3 
"Sunway Velocity, Cheras",549900,Freehold,Condominium,1376,Fully Furnished,3 ,3 
"Taman Maluri, Cheras",549900,Freehold,Condominium,1300,Fully Furnished,3 ,3 
"Sunway Velocity, Cheras",549900,Freehold,Condominium,1300,Fully Furnished,3 ,3 
"Jalan Imbi, Bukit Bintang",545000,Freehold,Condominium,1376,Fully Furnished,3 ,3 
"M Adora, Wangsa Maju",543000,Freehold,Condominium,1000,Semi Furnished,3 ,2 
"M Adora, Wangsa Maju",630000,Leasehold,Condominium,1200,Semi Furnished,4 ,3 
"Kenwingston Platz Residence, Setapak",400000,Freehold,Condominium,1000,Fully Furnished,3 ,2 
"Vista Sentul, Sentul",466400,Freehold,Condominium,958,Semi Furnished,3 ,2 
"Vista Sentul, Sentul",329800,Freehold,Condominium,700,Unfurnished,2 ,2 
"Vista Sentul, Sentul",466400,Freehold,Condominium,958,Semi Furnished,3 ,2 
"d'Brightton, Setapak",1490000,Freehold,Villa,2927,Unfurnished,4 + 1,5 
"d'Brightton, Setapak",1970000,Freehold,Villa,3756,Unfurnished,5 ,5 
"d'Brightton, Setapak",1490000,Leasehold,Condominium,2927,Unfurnished,4 + 1,5 
"d'Brightton, Setapak",535000,Leasehold,Condominium,1044,Unfurnished,3 ,2 
"Lake City @ KL North, Kuala Lumpur",360000,Freehold,Condominium,547,Semi Furnished,1 ,1 
"Aradia Residence @ Lake City, Kuala Lumpur",580000,Freehold,Condominium,943,Semi Furnished,3 ,2 
"Damai Kasih, Alam Damai",1550000,Freehold,Semi Detached,4500,Semi Furnished,7 ,5 
"Laman Tasik Condominium, Bandar Sri Permaisuri",1000000,Freehold,Duplex,2229,Unfurnished,5 ,4 
"Astana Lumayan, Bandar Sri Permaisuri",600000,Freehold,Condominium,1700,Unfurnished,4 ,2 
"Saville @ The Park, Pantai",1000000,Leasehold,Condominium,1646,Unfurnished,4 + 1,3 
"Royal Regent, Dutamas",855000,Freehold,Condominium,1590,Semi Furnished,3 + 1,2 
"Royal Regent, Dutamas",1130000,Freehold,Condominium,2190,Semi Furnished,4 + 1,4 
"Royal Regent, Dutamas",950000,Freehold,Condominium,1800,Semi Furnished,3 + 2,3 
"Saville @ The Park, Pantai",930000,Freehold,Condominium,1646,Unfurnished,4 + 1,3 
"Bayu Tasik 1, Bandar Sri Permaisuri",348000,Freehold,Condominium,1100,Semi Furnished,3 ,2 
